Country / Territory,Year,Date of Event,Disaster Internal Displacements,Hazard Category,Hazard Type,Hazard Sub Type
France,2019,2019-08-14,22,Weather related,Wildfire,Wildfire
Colombia,2019,2019-07-26,4,Weather related,Mass Movement,Landslide/Wet mass movement
Kenya,2019,2019-10-05,1000,Weather related,Flood,Flood
Indonesia,2019,2019-06-02,9788,Weather related,Flood,Flood
India,2019,2019-04-14,705,Weather related,Storm,Storm
Kenya,2019,2019-06-01,390,Weather related,Flood,Flood
Brazil,2019,2019-01-01,2020,Weather related,Flood,Flood
Ghana,2019,2019-10-06,1200,Weather related,Flood,Flood
Indonesia,2019,2019-02-10,90,Weather related,Storm,Storm
Guatemala,2019,2019-11-12,3535,Weather related,Extreme Temperature,Cold wave
Brazil,2019,2019-10-01,1688,Weather related,Flood,Flood
Sri Lanka,2019,2019-07-13,7,Weather related,Storm,Storm
France,2019,2019-06-11,4,Geophysical,Mass Movement,Dry mass movement
Burundi,2019,2019-04-01,378,Weather related,Storm,Storm
Central African Republic,2019,2019-08-14,40,Weather related,Flood,Flood
Colombia,2019,2019-07-23,67,Weather related,Storm,Storm
Afghanistan,2019,2019-03-18,3360,Weather related,Flood,Flood
China,2019,2019-04-23,1900,Weather related,Storm,Storm
Indonesia,2019,2019-03-02,29,Weather related,Storm,Storm
Spain,2019,2019-04-18,320,Weather related,Flood,Flood
Indonesia,2019,2019-03-02,175,Weather related,Flood,Flood
Indonesia,2019,2019-03-31,6,Weather related,Flood,Flood
France,2019,2019-06-18,17,Weather related,Storm,Storm
France,2019,2019-08-31,40,Weather related,Wildfire,Wildfire
China,2019,2019-05-18,75,Geophysical,Earthquake,Earthquake
Indonesia,2019,2019-03-07,5,Weather related,Storm,Storm
United States,2019,2019-03-14,377,Weather related,Flood,Flood
China,2019,2019-04-17,16690,Weather related,Wildfire,Wildfire
Indonesia,2019,2019-03-02,4,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-03-28,5,Weather related,Mass Movement,Avalanche
Brazil,2019,2019-11-11,2,Weather related,Mass Movement,Landslide/Wet mass movement
United Kingdom,2019,2019-04-15,5,Weather related,Wildfire,Wildfire
Indonesia,2019,2019-04-02,365,Weather related,Flood,Flood
Indonesia,2019,2019-03-02,3,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-03-26,11,Weather related,Mass Movement,Avalanche
China,2019,2019-04-25,400,Weather related,Storm,Storm
Indonesia,2019,2019-04-12,4702,Geophysical,Earthquake,Earthquake
Indonesia,2019,2019-03-03,4,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-03-22,7,Weather related,Mass Movement,Avalanche
United States,2019,2019-04-12,3,Weather related,Storm,Tornado
Tanzania,2019,2019-03-08,1081,Weather related,Flood,Flood
Romania,2019,2019-05-31,260,Weather related,Flood,Flood
Indonesia,2019,2019-04-08,11079,Weather related,Flood,Flood
Indonesia,2019,2019-03-05,15,Weather related,Mass Movement,Avalanche
Serbia,2019,2019-06-02,285,Weather related,Flood,Flood
Indonesia,2019,2019-03-17,468,Weather related,Flood,Flood
United States,2019,2019-04-15,11,Weather related,Storm,Tornado
Cambodia,2019,2019-05-23,5,Weather related,Storm,Storm
United States,2019,2019-06-18,15,Weather related,Wildfire,Wildfire
United States,2019,2019-06-20,80,Weather related,Flood,Flood
Malaysia,2019,2019-03-31,110,Weather related,Storm,Storm
Indonesia,2019,2019-03-12,4,Weather related,Mass Movement,Avalanche
United States,2019,2019-04-13,35,Weather related,Flood,Flood
United States,2019,2019-05-07,23,Weather related,Flood,Flood
Canada,2019,2019-05-29,2924,Weather related,Wildfire,Wildfire
United States,2019,2019-06-16,36,Weather related,Storm,Storm
Greece,2019,2019-07-05,2300,Weather related,Wildfire,Wildfire
Philippines,2019,2019-04-09,565,Weather related,Storm,Storm
Indonesia,2019,2019-03-07,555,Weather related,Flood,Flood
Indonesia,2019,2019-04-30,4,Weather related,Storm,Storm
United States,2019,2019-05-11,20,Weather related,Flood,Flood
United States,2019,2019-05-25,1040,Weather related,Flood,Flood
Indonesia,2019,2019-03-07,550,Weather related,Flood,Flood
Indonesia,2019,2019-04-29,85,Weather related,Flood,Flood
Bangladesh,2019,2019-04-02,2100,Weather related,Storm,Storm
Colombia,2019,2019-03-15,1406,Weather related,Flood,Flood
Brazil,2019,2019-05-01,1922,Weather related,Flood,Flood
United States,2019,2019-05-30,3,Weather related,Flood,Flood
Mongolia,2019,2019-06-15,13,Weather related,Flood,Flood
Colombia,2019,2019-04-21,30,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-03-06,80,Weather related,Flood,Flood
Indonesia,2019,2019-04-21,4,Weather related,Mass Movement,Avalanche
Vietnam,2019,2019-05-27,43,Weather related,Storm,Storm
Switzerland,2019,2019-06-21,10,Weather related,Flood,Flood
Brazil,2019,2019-05-01,484,Weather related,Flood,Flood
United States,2019,2019-05-24,31,Weather related,Flood,Flood
Brazil,2019,2019-01-01,32621,Weather related,Flood,Flood
United States,2019,2019-04-25,23,Weather related,Storm,Storm
Myanmar,2019,2019-01-10,16,Weather related,Mass Movement,Landslide/Wet mass movement
Türkiye,2019,2019-06-18,14,Weather related,Mass Movement,Avalanche
Bosnia and Herzegovina,2019,2019-05-14,15,Weather related,Flood,Flood
Brazil,2019,2019-05-21,450,Weather related,Flood,Flood
Italy,2019,2019-05-12,37,Weather related,Flood,Flood
Uganda,2019,2019-07-21,108,Weather related,Flood,Flood
Norway,2019,2019-04-23,326,Weather related,Wildfire,Wildfire
United States,2019,2019-04-26,7,Weather related,Storm,Tornado
"Congo, Dem. Rep.",2019,2019-04-27,452,Weather related,Mass Movement,Landslide/Wet mass movement
Vietnam,2019,2019-05-04,252,Weather related,Storm,Storm
Chile,2019,2019-05-02,180,Weather related,Wildfire,Wildfire
Indonesia,2019,2019-02-10,36,Weather related,Storm,Storm
Philippines,2019,2019-04-22,9556,Geophysical,Earthquake,Earthquake
Kenya,2019,2019-05-08,117,Weather related,Flood,Flood
Vietnam,2019,2019-05-02,36,Weather related,Storm,Storm
Indonesia,2019,2019-02-01,405,Weather related,Mass Movement,Landslide/Wet mass movement
Indonesia,2019,2019-02-10,4,Weather related,Mass Movement,Avalanche
Pakistan,2019,2019-05-22,82,Weather related,Flood,Flood
Mauritius,2019,2019-03-25,408,Weather related,Storm,Typhoon/Hurricane/Cyclone
Burundi,2019,2019-01-01,243,Weather related,Storm,Storm
Pakistan,2019,2019-06-09,10000,Weather related,Mass Movement,Landslide/Wet mass movement
Canada,2019,2019-04-27,840,Weather related,Flood,Flood
Vietnam,2019,2019-05-01,436,Weather related,Storm,Storm
Chile,2019,2019-05-02,4,Weather related,Flood,Flood
Indonesia,2019,2019-06-08,2029,Weather related,Flood,Flood
Philippines,2019,2019-04-23,4,Geophysical,Earthquake,Earthquake
Indonesia,2019,2019-04-21,450,Weather related,Flood,Flood
Vietnam,2019,2019-04-29,4,Weather related,Storm,Storm
Indonesia,2019,2019-05-18,5,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-02-11,7,Weather related,Mass Movement,Avalanche
Sri Lanka,2019,2019-04-17,7,Weather related,Storm,Storm
Indonesia,2019,2019-04-12,43,Weather related,Mass Movement,Avalanche
Vietnam,2019,2019-04-24,14,Weather related,Storm,Storm
Papua New Guinea,2019,2019-04-15,1500,Weather related,Mass Movement,Avalanche
Afghanistan,2019,2019-03-22,7,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-06-08,2264,Weather related,Flood,Flood
Colombia,2019,2019-05-26,56,Weather related,Mass Movement,Landslide/Wet mass movement
China,2019,2019-06-24,135,Weather related,Mass Movement,Avalanche
Brazil,2019,2019-01-01,4634,Weather related,Flood,Flood
Sri Lanka,2019,2019-04-20,7,Weather related,Storm,Storm
Indonesia,2019,2019-03-20,5,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-04-11,4,Weather related,Mass Movement,Avalanche
Vietnam,2019,2019-04-24,4,Weather related,Storm,Storm
Philippines,2019,2019-06-03,1000,Weather related,Flood,Flood
Angola,2019,2019-02-25,4890,Weather related,Flood,Flood
Brazil,2019,2019-01-01,4,Weather related,Storm,Storm
Sri Lanka,2019,2019-04-22,3,Weather related,Storm,Storm
Vietnam,2019,2019-04-24,40,Weather related,Mass Movement,Avalanche
Papua New Guinea,2019,2019-05-07,639,Geophysical,Earthquake,Earthquake
South Africa,2019,2019-01-11,112,Weather related,Wildfire,Wildfire
Sri Lanka,2019,2019-06-17,3,Weather related,Storm,Storm
Indonesia,2019,2019-03-06,100,Weather related,Flood,Flood
Indonesia,2019,2019-03-07,10,Weather related,Flood,Flood
Indonesia,2019,2019-03-07,543,Weather related,Flood,Flood
Indonesia,2019,2019-05-01,4,Weather related,Storm,Storm
China,2019,2019-05-25,8394,Weather related,Storm,Storm
Indonesia,2019,2019-04-26,13728,Weather related,Flood,Flood
Vietnam,2019,2019-04-16,72,Weather related,Storm,Storm
China,2019,2019-06-25,21,Weather related,Flood,Flood
Indonesia,2019,2019-03-06,226,Weather related,Flood,Flood
Indonesia,2019,2019-03-10,61,Weather related,Flood,Flood
United States,2019,2019-05-20,50,Weather related,Flood,Flood
Tanzania,2014,2014-03-15,1000,Weather related,Flood,Flood
Malawi,2019,2019-04-20,8,Weather related,Mass Movement,Landslide/Wet mass movement
Indonesia,2019,2019-05-02,7,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-04-28,87,Weather related,Flood,Flood
Brazil,2019,2019-01-01,9,Weather related,Flood,Flood
Brazil,2019,2019-01-01,80,Weather related,Mass Movement,Landslide/Wet mass movement
Indonesia,2019,2019-03-06,30,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-03-10,60,Weather related,Storm,Storm
Indonesia,2019,2019-04-28,2793,Weather related,Flood,Flood
United States,2019,2019-05-20,14,Weather related,Storm,Tornado
Indonesia,2019,2019-05-02,20,Weather related,Flood,Flood
China,2019,2019-06-17,95000,Geophysical,Earthquake,Earthquake
Indonesia,2019,2019-03-06,5,Weather related,Flood,Flood
Indonesia,2019,2019-03-12,4,Weather related,Storm,Storm
United States,2019,2019-05-11,16,Weather related,Storm,Tornado
Indonesia,2019,2019-05-03,40,Weather related,Flood,Flood
Nigeria,2019,2019-05-20,9,Weather related,Flood,Flood
Afghanistan,2019,2019-03-31,222,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-05-03,15,Weather related,Storm,Storm
Nepal,2019,2019-01-22,4,Weather related,Storm,Storm
Brazil,2019,2019-03-01,586,Weather related,Flood,Flood
Philippines,2019,2019-07-09,765,Geophysical,Earthquake,Earthquake
Sri Lanka,2019,2019-06-09,3,Weather related,Storm,Storm
"Iran, Islamic Rep.",2019,2019-07-08,200,Geophysical,Earthquake,Earthquake
Indonesia,2019,2019-07-30,39,Weather related,Flood,Flood
Indonesia,2019,2019-03-06,103,Weather related,Flood,Flood
Russian Federation,2019,2019-04-20,340,Weather related,Wildfire,Wildfire
Indonesia,2019,2019-05-08,36,Weather related,Storm,Typhoon/Hurricane/Cyclone
Japan,2019,2018-11-01,5,Weather related,Storm,Winter storm/Blizzard
Canada,2019,2019-05-06,24,Weather related,Flood,Flood
Mexico,2019,2019-06-02,456,Weather related,Flood,Flood
Indonesia,2019,2019-05-05,20,Weather related,Flood,Flood
Afghanistan,2019,2019-04-04,10967,Weather related,Flood,Flood
Nepal,2019,2019-01-25,12,Weather related,Storm,Storm
United States,2019,2019-06-24,6,Weather related,Storm,Storm
Colombia,2019,2019-07-23,4,Weather related,Storm,Storm
Tanzania,2019,2019-05-08,5812,Weather related,Flood,Flood
Brazil,2019,2019-11-14,385,Weather related,Mass Movement,Avalanche
Indonesia,2019,2019-03-06,49,Weather related,Mass Movement,Avalanche
Malaysia,2019,2019-05-08,51,Weather related,Flood,Flood
Nepal,2019,2019-02-09,9,Weather related,Storm,Storm
Malaysia,2019,2019-06-02,1000,Weather related,Flood,Flood
Indonesia,2019,2019-05-08,771,Weather related,Flood,Flood
Brazil,2019,2019-01-01,5388,Weather related,Drought,Drought
Indonesia,2019,2019-03-24,50,Weather related,Flood,Flood
Indonesia,2019,2019-03-31,4,Weather related,Mass Movement,Avalanche
