Country / Territory,Year,Date of Event,Disaster Internal Displacements,Hazard Category,Hazard Type,Hazard Sub Type
Indonesia,2015,2015-12-09,55,Weather related,Flood,Flood
Indonesia,2015,2015-05-05,65,Weather related,Flood,Flood
Indonesia,2015,2015-04-12,70,Weather related,Flood,Flood
Indonesia,2015,2015-06-08,71,Weather related,Storm,Storm
Indonesia,2015,2015-11-03,75,Weather related,Mass Movement,Landslide/Wet mass movement
Indonesia,2015,2015-12-01,77,Weather related,Flood,Flood
Indonesia,2015,2015-03-11,79,Weather related,Storm,Storm
Indonesia,2015,2015-11-29,85,Weather related,Flood,Flood
Indonesia,2015,2015-01-09,85,Weather related,Flood,Flood
Indonesia,2015,2015-07-26,86,Weather related,Storm,Storm
Indonesia,2015,2015-01-23,91,Weather related,Storm,Storm
Indonesia,2015,2015-12-21,97,Weather related,Flood,Flood
Indonesia,2015,2015-07-31,106,Weather related,Mass Movement,Landslide/Wet mass movement
Indonesia,2015,2015-05-09,115,Weather related,Flood,Flood
Indonesia,2015,2015-03-31,119,Weather related,Flood,Flood
Indonesia,2015,2015-05-14,125,Weather related,Flood,Flood
Indonesia,2015,2015-06-14,136,Weather related,Flood,Flood
Indonesia,2015,2015-12-03,150,Weather related,Flood,Flood
Indonesia,2015,2015-01-04,175,Weather related,Mass Movement,Landslide/Wet mass movement
Indonesia,2015,2015-09-25,200,Geophysical,Earthquake,Earthquake
Indonesia,2015,2015-06-08,200,Weather related,Flood,Flood
Indonesia,2015,2015-05-05,203,Weather related,Mass Movement,Landslide/Wet mass movement
Indonesia,2015,2015-04-13,211,Weather related,Flood,Flood
Indonesia,2015,2015-04-14,212,Weather related,Flood,Flood
Indonesia,2015,2015-01-21,229,Weather related,Flood,Flood
Indonesia,2015,2015-01-20,238,Weather related,Mass Movement,Landslide/Wet mass movement
Indonesia,2015,2015-03-22,254,Weather related,Mass Movement,Landslide/Wet mass movement
Indonesia,2015,2015-04-22,260,Weather related,Flood,Flood
Indonesia,2015,2015-11-15,278,Weather related,Flood,Flood
Indonesia,2015,2015-02-20,289,Weather related,Flood,Flood
Indonesia,2015,2015-03-01,300,Weather related,Flood,Flood
Indonesia,2015,2015-10-16,304,Weather related,Flood,Flood
Indonesia,2015,2015-01-25,316,Weather related,Flood,Flood
Indonesia,2015,2015-03-13,322,Weather related,Flood,Flood
Indonesia,2015,2015-01-04,330,Weather related,Flood,Flood
Indonesia,2015,2015-06-18,338,Weather related,Flood,Flood
Indonesia,2015,2015-05-07,355,Weather related,Flood,Flood
Indonesia,2015,2015-01-28,363,Weather related,Mass Movement,Landslide/Wet mass movement
Indonesia,2015,2015-01-21,364,Weather related,Flood,Flood
Indonesia,2015,2015-05-01,375,Weather related,Flood,Flood
Indonesia,2015,2015-11-03,407,Weather related,Flood,Flood
Indonesia,2015,2015-10-19,450,Weather related,Flood,Flood
Indonesia,2015,2015-11-27,460,Weather related,Flood,Flood
Indonesia,2015,2015-01-03,496,Weather related,Flood,Flood
Indonesia,2015,2015-02-08,500,Weather related,Flood,Flood
Indonesia,2015,2015-09-27,504,Weather related,Flood,Flood
Indonesia,2015,2015-06-22,522,Weather related,Flood,Flood
Indonesia,2015,2015-02-08,525,Weather related,Mass Movement,Landslide/Wet mass movement
Indonesia,2015,2015-01-23,550,Weather related,Flood,Flood
Indonesia,2015,2015-01-30,585,Weather related,Flood,Flood
Indonesia,2015,2015-12-12,600,Weather related,Flood,Flood
Indonesia,2015,2015-11-05,690,Weather related,Flood,Flood
Indonesia,2015,2015-09-27,792,Weather related,Storm,Storm
Indonesia,2015,2015-09-28,792,Weather related,Storm,Storm
Indonesia,2015,2015-12-15,1000,Weather related,Flood,Flood
Indonesia,2015,2015-05-15,1000,Weather related,Flood,Flood
Indonesia,2015,2015-01-17,1000,Weather related,Flood,Flood
Indonesia,2015,2015-01-24,1190,Weather related,Flood,Flood
Indonesia,2015,2015-11-26,1270,Weather related,Flood,Flood
Indonesia,2015,2015-01-18,1291,Weather related,Flood,Flood
Indonesia,2015,2015-07-16,1788,Geophysical,Volcanic activity,Volcanic activity
Indonesia,2015,2015-10-20,1892,Weather related,Flood,Flood
Indonesia,2015,2015-05-07,2000,Geophysical,Volcanic activity,Volcanic activity
Indonesia,2015,2015-02-09,2238,Weather related,Flood,Flood
Indonesia,2015,2015-07-14,2300,Weather related,Flood,Flood
Indonesia,2015,2015-05-02,2500,Weather related,Flood,Flood
Indonesia,2015,2015-02-04,2520,Weather related,Flood,Flood
Indonesia,2015,2015-01-11,4183,Weather related,Flood,Flood
Indonesia,2015,2015-01-11,4239,Weather related,Flood,Flood
Indonesia,2015,2015-04-11,5439,Geophysical,Earthquake,Earthquake
Indonesia,2015,2015-04-17,5695,Weather related,Flood,Flood
Indonesia,2015,2015-02-06,5795,Weather related,Flood,Flood
Indonesia,2015,2015-02-20,6500,Weather related,Flood,Flood
Indonesia,2015,2015-11-24,7103,Weather related,Flood,Flood
Indonesia,2015,2015-01-23,7836,Weather related,Flood,Flood
Indonesia,2015,2015-03-16,8720,Weather related,Flood,Flood
Indonesia,2015,2015-11-16,11796,Geophysical,Earthquake,Earthquake
Indonesia,2015,2015-06-02,13304,Geophysical,Volcanic activity,Volcanic activity
Indonesia,2015,2015-02-09,14628,Weather related,Flood,Flood
Indonesia,2015,2015-12-10,70000,Weather related,Flood,Flood
India,2015,2015-10-26,10,Geophysical,Earthquake,Earthquake
India,2015,2015-08-01,56,Weather related,Mass Movement,Landslide/Wet mass movement
India,2015,2015-06-29,75,Weather related,Flood,Flood
India,2015,2015-05-17,200,Weather related,Flood,Flood
India,2015,2015-07-01,200,Weather related,Storm,Sand/dust storm
India,2015,2015-06-23,1000,Weather related,Mass Movement,Landslide/Wet mass movement
India,2015,2015-06-05,9000,Weather related,Flood,Flood
India,2015,2015-03-30,9400,Weather related,Flood,Flood
India,2015,2015-06-23,10000,Weather related,Flood,Flood
India,2015,2015-04-25,25100,Geophysical,Earthquake,Earthquake
India,2015,2015-11-21,34000,Weather related,Flood,Flood
India,2015,2015-04-21,117500,Weather related,Storm,Storm
India,2015,2015-08-17,180188,Weather related,Flood,Flood
India,2015,2015-08-29,266908,Weather related,Flood,Flood
India,2015,2015-07-26,1200000,Weather related,Flood,Flood
India,2015,2015-11-08,1801000,Weather related,Flood,Flood
Ireland,2015,2015-12-04,1623,Weather related,Storm,Storm
"Iran, Islamic Rep.",2015,2015-07-19,800,Weather related,Flood,Flood
"Iran, Islamic Rep.",2015,2015-10-29,1400,Weather related,Flood,Flood
"Iran, Islamic Rep.",2015,2015-03-10,3150,Weather related,Flood,Flood
Iraq,2015,2015-10-28,22500,Weather related,Flood,Flood
Italy,2015,2015-10-14,50,Weather related,Flood,Flood
Italy,2015,2015-09-30,81,Weather related,Flood,Flood
Italy,2015,2015-08-10,500,Weather related,Flood,Flood
Italy,2015,2015-10-10,690,Weather related,Flood,Flood
Japan,2015,2015-01-01,22,Weather related,Extreme Temperature,Cold wave
Japan,2015,2015-09-29,24,Weather related,Storm,Typhoon/Hurricane/Cyclone
Japan,2015,2015-08-15,77,Geophysical,Volcanic activity,Volcanic activity
Japan,2015,2015-06-18,118,Geophysical,Volcanic activity,Volcanic activity
Japan,2015,2015-05-29,137,Geophysical,Volcanic activity,Volcanic activity
Japan,2015,2015-07-09,180,Weather related,Storm,Typhoon/Hurricane/Cyclone
Japan,2015,2015-06-11,4713,Weather related,Mass Movement,Landslide/Wet mass movement
Japan,2015,2015-07-17,43384,Weather related,Storm,Typhoon/Hurricane/Cyclone
Japan,2015,2015-09-09,192000,Weather related,Storm,Typhoon/Hurricane/Cyclone
Japan,2015,2015-08-23,245459,Weather related,Storm,Typhoon/Hurricane/Cyclone
Kazakhstan,2015,2015-07-23,1036,Weather related,Flood,Flood
Kazakhstan,2015,2015-04-08,18000,Weather related,Flood,Flood
Kenya,2015,2015-05-30,390,Weather related,Flood,Flood
Kenya,2015,2015-12-20,1170,Weather related,Flood,Flood
Kenya,2015,2015-10-01,103524,Weather related,Flood,Flood
Kyrgyz Republic,2015,2015-02-12,21,Weather related,Flood,Flood
Kyrgyz Republic,2015,2015-06-08,105,Weather related,Flood,Flood
Kyrgyz Republic,2015,2015-11-17,5780,Geophysical,Earthquake,Earthquake
Cambodia,2015,2015-11-01,5,Weather related,Storm,Storm
Cambodia,2015,2015-09-08,9,Weather related,Storm,Storm
Cambodia,2015,2015-08-09,9,Weather related,Storm,Storm
Cambodia,2015,2015-08-20,14,Weather related,Storm,Storm
Cambodia,2015,2015-12-01,14,Weather related,Storm,Storm
Cambodia,2015,2015-09-02,51,Weather related,Storm,Storm
Cambodia,2015,2015-09-15,3614,Weather related,Flood,Flood
Cambodia,2015,2015-09-16,5143,Weather related,Storm,Storm
Kiribati,2015,2015-03-13,2520,Weather related,Storm,Typhoon/Hurricane/Cyclone
Lao PDR,2015,2015-09-07,49,Weather related,Mass Movement,Landslide/Wet mass movement
Lao PDR,2015,2015-07-01,11902,Weather related,Flood,Flood
Lebanon,2015,2015-01-06,106,Weather related,Storm,Winter storm/Blizzard
Sri Lanka,2015,2015-04-26,135,Weather related,Flood,Flood
Sri Lanka,2015,2015-02-11,172,Weather related,Flood,Flood
Sri Lanka,2015,2015-10-12,307,Weather related,Flood,Flood
Sri Lanka,2015,2015-09-25,948,Weather related,Flood,Flood
Sri Lanka,2015,2015-11-13,64000,Weather related,Flood,Flood
Madagascar,2015,2015-02-06,7785,Weather related,Storm,Typhoon/Hurricane/Cyclone
Madagascar,2015,2015-02-27,38498,Weather related,Flood,Flood
Madagascar,2015,2015-01-16,41118,Weather related,Storm,Typhoon/Hurricane/Cyclone
Mexico,2015,2015-07-12,70,Geophysical,Volcanic activity,Volcanic activity
Mexico,2015,2015-03-15,114,Weather related,Flood,Flood
Mexico,2015,2015-10-16,150,Weather related,Flood,Flood
Mexico,2015,2015-03-25,200,Weather related,Flood,Flood
Mexico,2015,2015-10-24,90000,Weather related,Storm,Typhoon/Hurricane/Cyclone
Mali,2015,2015-08-08,400,Weather related,Flood,Flood
Myanmar,2015,2015-06-01,1500,Weather related,Flood,Flood
Myanmar,2015,2015-07-16,1616761,Weather related,Flood,Flood
Mongolia,2015,2015-11-25,807,Weather related,Extreme Temperature,Cold wave
Mozambique,2015,2015-01-12,61102,Weather related,Flood,Flood
Mauritius,2015,2015-01-16,1400,Weather related,Storm,Typhoon/Hurricane/Cyclone
Malawi,2015,2015-11-23,6970,Weather related,Storm,Storm
Malawi,2015,2015-01-05,336053,Weather related,Flood,Flood
Malaysia,2015,2015-12-18,22,Weather related,Mass Movement,Landslide/Wet mass movement
Malaysia,2015,2015-06-06,38,Weather related,Mass Movement,Landslide/Wet mass movement
Malaysia,2015,2015-12-01,199,Weather related,Flood,Flood
Malaysia,2015,2015-04-11,367,Weather related,Flood,Flood
Malaysia,2015,2015-09-16,438,Weather related,Flood,Flood
Malaysia,2015,2015-02-11,476,Weather related,Flood,Flood
Malaysia,2015,2015-11-01,1421,Weather related,Flood,Flood
Malaysia,2015,2015-12-11,3000,Weather related,Flood,Flood
Malaysia,2015,2015-01-20,4134,Weather related,Flood,Flood
Malaysia,2015,2015-01-14,10512,Weather related,Flood,Flood
Namibia,2015,2015-01-01,8,Weather related,Flood,Flood
Niger,2015,2015-08-20,38321,Weather related,Flood,Flood
Nigeria,2015,2015-09-07,2000,Weather related,Flood,Flood
Nigeria,2015,2015-08-11,2070,Weather related,Flood,Flood
Nigeria,2015,2015-10-01,5490,Weather related,Flood,Flood
Nigeria,2015,2015-08-01,90860,Weather related,Flood,Flood
Nicaragua,2015,2015-12-01,48,Geophysical,Volcanic activity,Volcanic activity
Nicaragua,2015,2015-07-09,404,Weather related,Flood,Flood
Nicaragua,2015,2015-06-02,619,Weather related,Flood,Flood
Norway,2015,2015-12-04,220,Weather related,Flood,Flood
Nepal,2015,2015-07-29,95,Weather related,Mass Movement,Landslide/Wet mass movement
Nepal,2015,2015-04-25,2622733,Geophysical,Earthquake,Earthquake
New Zealand,2015,2015-03-13,40,Weather related,Storm,Typhoon/Hurricane/Cyclone
New Zealand,2015,2015-06-20,400,Weather related,Flood,Flood
Pakistan,2015,2015-04-26,564,Weather related,Storm,Typhoon/Hurricane/Cyclone
Pakistan,2015,2015-06-03,1240,Weather related,Flood,Flood
Pakistan,2015,2015-07-15,4049,Weather related,Mass Movement,Landslide/Wet mass movement
Pakistan,2015,2015-08-01,330000,Weather related,Flood,Flood
Pakistan,2015,2015-10-26,665812,Geophysical,Earthquake,Earthquake
Panama,2015,2015-09-22,100,Weather related,Flood,Flood
Peru,2015,2015-03-23,396,Weather related,Mass Movement,Landslide/Wet mass movement
Peru,2015,2015-03-23,540,Weather related,Mass Movement,Landslide/Wet mass movement
Peru,2015,2015-03-18,835,Weather related,Mass Movement,Landslide/Wet mass movement
Peru,2015,2015-12-01,1080,Weather related,Flood,Flood
Peru,2015,2015-05-01,1209,Weather related,Extreme Temperature,Cold wave
Peru,2015,2015-04-09,1350,Weather related,Storm,Storm
Peru,2015,2015-01-26,3000,Weather related,Flood,Flood
Philippines,2015,2015-05-06,567,Geophysical,Volcanic activity,Volcanic activity
Philippines,2015,2015-07-30,915,Weather related,Storm,Storm
Philippines,2015,2015-04-04,2761,Weather related,Storm,Typhoon/Hurricane/Cyclone
Philippines,2015,2015-06-23,3800,Weather related,Flood,Flood
Philippines,2015,2015-05-10,3803,Weather related,Storm,Typhoon/Hurricane/Cyclone
Philippines,2015,2015-12-20,4792,Weather related,Storm,Storm
Philippines,2015,2015-07-07,5476,Weather related,Storm,Typhoon/Hurricane/Cyclone
Philippines,2015,2015-12-16,18481,Weather related,Storm,Storm
Philippines,2015,2015-10-01,21561,Weather related,Storm,Typhoon/Hurricane/Cyclone
Philippines,2015,2015-07-04,45336,Weather related,Storm,Typhoon/Hurricane/Cyclone
Philippines,2015,2015-01-15,114591,Weather related,Storm,Typhoon/Hurricane/Cyclone
Philippines,2015,2015-08-18,318359,Weather related,Storm,Typhoon/Hurricane/Cyclone
Philippines,2015,2015-12-14,742991,Weather related,Storm,Typhoon/Hurricane/Cyclone
Philippines,2015,2015-10-14,937725,Weather related,Storm,Typhoon/Hurricane/Cyclone
"Korea, Dem. Rep.",2015,2015-08-01,2972,Weather related,Flood,Flood
"Korea, Dem. Rep.",2015,2015-08-25,2996,Weather related,Storm,Typhoon/Hurricane/Cyclone
Portugal,2015,2015-09-04,10,Weather related,Flood,Flood
Paraguay,2015,2015-04-01,5400,Weather related,Storm,Tornado
Paraguay,2015,2015-07-14,36000,Weather related,Flood,Flood
Paraguay,2015,2015-12-15,130000,Weather related,Flood,Flood
West Bank and Gaza,2015,2015-01-06,10000,Weather related,Storm,Winter storm/Blizzard
Romania,2015,2015-05-01,157,Weather related,Flood,Flood
Russian Federation,2015,2015-04-12,6600,Weather related,Wildfire,Wildfire
Rwanda,2015,2015-09-04,210,Weather related,Storm,Storm
Rwanda,2015,2015-04-03,1789,Weather related,Flood,Flood
Sudan,2015,2015-08-02,3575,Weather related,Flood,Flood
Sudan,2015,2015-07-16,4736,Weather related,Flood,Flood
Solomon Islands,2015,2015-03-09,1000,Weather related,Storm,Typhoon/Hurricane/Cyclone
El Salvador,2015,2015-10-19,198,Weather related,Flood,Flood
El Salvador,2015,2015-05-02,1784,Weather related,Storm,Storm surge
Somalia,2015,2015-11-02,820,Weather related,Storm,Typhoon/Hurricane/Cyclone
Somalia,2015,2015-05-01,2350,Weather related,Flood,Flood
Somalia,2015,2015-11-09,2700,Weather related,Storm,Typhoon/Hurricane/Cyclone
Somalia,2015,2015-03-01,4700,Weather related,Flood,Flood
Somalia,2015,2015-05-01,6815,Weather related,Flood,Flood
Somalia,2015,2015-10-19,41500,Weather related,Flood,Flood
South Sudan,2015,2015-09-01,15000,Weather related,Flood,Flood
Sweden,2015,2015-09-05,100,Weather related,Flood,Flood
Togo,2015,2015-06-02,5000,Weather related,Flood,Flood
Thailand,2015,2015-08-01,237,Weather related,Storm,Typhoon/Hurricane/Cyclone
Tajikistan,2015,2015-12-07,1469,Geophysical,Earthquake,Earthquake
Tajikistan,2015,2015-07-01,10000,Weather related,Flood,Flood
Timor-Leste,2015,2015-02-12,6,Weather related,Storm,Storm
Timor-Leste,2015,2015-03-28,6,Weather related,Storm,Storm
Timor-Leste,2015,2015-01-28,6,Weather related,Storm,Storm
Timor-Leste,2015,2015-12-26,6,Weather related,Mass Movement,Landslide/Wet mass movement
Timor-Leste,2015,2015-02-01,6,Weather related,Storm,Storm
Timor-Leste,2015,2015-12-21,6,Weather related,Storm,Storm
Timor-Leste,2015,2015-11-13,6,Weather related,Storm,Storm
Timor-Leste,2015,2015-03-26,6,Weather related,Storm,Storm
Timor-Leste,2015,2015-03-11,11,Geophysical,Earthquake,Earthquake
Timor-Leste,2015,2015-07-08,28,Weather related,Flood,Flood
Timor-Leste,2015,2015-02-14,28,Weather related,Flood,Flood
Timor-Leste,2015,2015-02-12,28,Weather related,Mass Movement,Landslide/Wet mass movement
Timor-Leste,2015,2015-01-05,39,Weather related,Mass Movement,Landslide/Wet mass movement
Timor-Leste,2015,2015-07-15,129,Weather related,Flood,Flood
Tunisia,2015,2015-02-27,120,Weather related,Flood,Flood
Türkiye,2015,2015-02-01,1500,Weather related,Flood,Flood
Tuvalu,2015,2015-03-10,5435,Weather related,Storm,Typhoon/Hurricane/Cyclone
"Taiwan, China",2015,2015-07-09,568,Weather related,Storm,Typhoon/Hurricane/Cyclone
"Taiwan, China",2015,2015-08-20,2562,Weather related,Storm,Typhoon/Hurricane/Cyclone
"Taiwan, China",2015,2015-08-08,11800,Weather related,Storm,Typhoon/Hurricane/Cyclone
"Taiwan, China",2015,2015-09-28,12211,Weather related,Storm,Typhoon/Hurricane/Cyclone
Tanzania,2015,2015-03-03,3500,Weather related,Storm,Hailstorm
Uganda,2015,2015-11-26,600,Weather related,Flood,Flood
Uruguay,2015,2015-12-17,23571,Weather related,Flood,Flood
United States,2015,2015-06-22,3,Weather related,Storm,Tornado
United States,2015,2015-06-27,5,Weather related,Storm,Tornado
United States,2015,2015-06-23,20,Weather related,Storm,Storm
United States,2015,2015-05-20,29,Weather related,Storm,Tornado
United States,2015,2015-06-28,30,Weather related,Wildfire,Wildfire
United States,2015,2015-07-04,32,Weather related,Storm,Typhoon/Hurricane/Cyclone
United States,2015,2015-03-04,42,Weather related,Storm,Winter storm/Blizzard
United States,2015,2015-02-27,52,Weather related,Wildfire,Wildfire
United States,2015,2015-01-05,60,Weather related,Flood,Flood
United States,2015,2015-06-17,113,Weather related,Flood,Flood
United States,2015,2015-01-18,156,Weather related,Wildfire,Wildfire
United States,2015,2015-04-09,195,Weather related,Storm,Storm
United States,2015,2015-08-20,200,Weather related,Wildfire,Wildfire
United States,2015,2015-08-10,200,Weather related,Wildfire,Wildfire
United States,2015,2015-02-20,238,Weather related,Storm,Winter storm/Blizzard
United States,2015,2015-02-16,240,Weather related,Storm,Winter storm/Blizzard
United States,2015,2015-06-15,300,Weather related,Wildfire,Wildfire
United States,2015,2015-06-17,300,Weather related,Wildfire,Wildfire
United States,2015,2015-08-14,300,Weather related,Wildfire,Wildfire
United States,2015,2015-07-30,350,Weather related,Storm,Typhoon/Hurricane/Cyclone
United States,2015,2015-07-11,393,Weather related,Storm,Tornado
United States,2015,2015-03-15,412,Weather related,Storm,Typhoon/Hurricane/Cyclone
United States,2015,2015-08-12,413,Weather related,Wildfire,Wildfire
United States,2015,2015-08-13,436,Weather related,Wildfire,Wildfire
United States,2015,2015-08-01,520,Weather related,Wildfire,Wildfire
United States,2015,2015-07-06,600,Weather related,Wildfire,Wildfire
United States,2015,2015-08-12,600,Weather related,Wildfire,Wildfire
United States,2015,2015-08-08,700,Weather related,Wildfire,Wildfire
United States,2015,2015-12-23,707,Weather related,Storm,Tornado
United States,2015,2015-05-07,718,Weather related,Storm,Tornado
United States,2015,2015-05-14,775,Weather related,Storm,Typhoon/Hurricane/Cyclone
United States,2015,2015-07-29,800,Weather related,Wildfire,Wildfire
United States,2015,2015-05-15,848,Weather related,Storm,Storm
United States,2015,2015-10-04,1000,Weather related,Storm,Typhoon/Hurricane/Cyclone
United States,2015,2015-08-13,1200,Weather related,Wildfire,Wildfire
United States,2015,2015-04-02,1342,Weather related,Storm,Storm
United States,2015,2015-08-11,1352,Weather related,Wildfire,Wildfire
United States,2015,2015-05-06,1461,Weather related,Flood,Flood
United States,2015,2015-06-14,1700,Weather related,Wildfire,Wildfire
United States,2015,2015-08-14,1898,Weather related,Wildfire,Wildfire
United States,2015,2015-08-19,2600,Weather related,Wildfire,Wildfire
United States,2015,2015-08-01,2600,Weather related,Wildfire,Wildfire
United States,2015,2015-09-13,3829,Weather related,Wildfire,Wildfire
United States,2015,2015-05-04,4194,Weather related,Flood,Flood
United States,2015,2015-10-22,5374,Weather related,Storm,Typhoon/Hurricane/Cyclone
United States,2015,2015-09-09,11000,Weather related,Wildfire,Wildfire
United States,2015,2015-09-12,13000,Weather related,Wildfire,Wildfire
"Venezuela, RB",2015,2015-07-08,184,Weather related,Flood,Flood
"Venezuela, RB",2015,2015-06-29,45297,Weather related,Flood,Flood
Vietnam,2015,2015-09-18,32,Weather related,Flood,Flood
Vietnam,2015,2015-06-24,83,Weather related,Storm,Typhoon/Hurricane/Cyclone
Vietnam,2015,2015-11-01,3600,Weather related,Flood,Flood
Vietnam,2015,2015-07-27,5836,Weather related,Flood,Flood
Vanuatu,2015,2015-03-13,65000,Weather related,Storm,Typhoon/Hurricane/Cyclone
Samoa,2015,2015-11-27,965,Weather related,Storm,Typhoon/Hurricane/Cyclone
"Yemen, Rep.",2015,2015-11-08,39600,Weather related,Storm,Typhoon/Hurricane/Cyclone
"Yemen, Rep.",2015,2015-11-02,43296,Weather related,Storm,Typhoon/Hurricane/Cyclone
South Africa,2015,2015-03-02,14,Weather related,Wildfire,Wildfire
Zambia,2015,2015-12-25,25,Weather related,Storm,Storm
Zimbabwe,2015,2015-01-02,800,Weather related,Storm,Typhoon/Hurricane/Cyclone
China,2016,2016-06-30,1990000,Weather related,Flood,Flood
Argentina,2016,2016-03-10,10677,Weather related,Flood,Flood
China,2016,2016-07-18,552000,Weather related,Flood,Flood
China,2016,2016-06-18,477000,Weather related,Flood,Flood
China,2016,2016-06-13,332000,Weather related,Flood,Flood
China,2016,2016-07-19,172000,Weather related,Flood,Flood
China,2016,2016-05-06,95000,Weather related,Flood,Flood
Bolivia,2016,2016-01-01,1467,Weather related,Flood,Flood
Brazil,2016,2016-01-01,13562,Weather related,Flood,Flood
China,2016,2016-09-23,200,Weather related,Flood,Flood
China,2016,2016-01-20,78000,Weather related,Extreme Temperature,Cold wave
China,2016,2016-05-19,64529,Weather related,Flood,Flood
China,2016,2016-08-15,56000,Weather related,Storm,Storm
China,2016,2016-07-31,300,Weather related,Flood,Flood
China,2016,2016-03-25,25000,Weather related,Flood,Flood
China,2016,2016-04-15,22000,Weather related,Flood,Flood
China,2016,2016-06-01,13613,Weather related,Flood,Flood
China,2016,2016-06-09,16000,Weather related,Flood,Flood
China,2016,2016-05-18,6800,Geophysical,Earthquake,Earthquake
China,2016,2016-06-04,4700,Weather related,Storm,Hailstorm
China,2016,2016-04-05,1500,Weather related,Flood,Flood
China,2016,2016-04-25,8100,Weather related,Flood,Flood
Colombia,2016,2016-04-01,30629,Weather related,Flood,Flood
China,2016,2016-09-18,5400,Weather related,Flood,Flood
China,2016,2016-09-08,2400,Weather related,Flood,Flood
China,2016,2016-09-05,900,Weather related,Flood,Flood
China,2016,2016-09-24,300,Weather related,Storm,Storm
China,2016,2016-09-23,200,Weather related,Storm,Hailstorm
China,2016,2016-09-01,300,Weather related,Flood,Flood
China,2016,2016-09-23,100,Geophysical,Earthquake,Earthquake
Benin,2016,2016-09-01,960,Weather related,Flood,Flood
Burkina Faso,2016,2016-04-09,16325,Weather related,Flood,Flood
Burundi,2016,2015-12-31,2377,Weather related,Flood,Flood
Cabo Verde,2016,2016-08-01,300,Geophysical,Earthquake,Earthquake
Albania,2016,2016-01-05,2450,Weather related,Flood,Flood
Albania,2016,2016-10-10,49,Weather related,Flood,Flood
Burundi,2016,2016-05-15,4179,Weather related,Flood,Flood
Angola,2016,2016-01-01,19103,Weather related,Flood,Flood
Bulgaria,2016,2016-10-12,24,Weather related,Flood,Flood
Indonesia,2016,2016-09-25,135,Weather related,Flood,Flood
China,2016,2016-10-06,1900,Weather related,Flood,Flood
Afghanistan,2016,2016-05-18,1480,Weather related,Flood,Flood
Afghanistan,2016,2016-05-09,1198,Weather related,Flood,Flood
China,2016,2016-09-27,600,Weather related,Flood,Flood
Afghanistan,2016,2016-06-10,407,Weather related,Mass Movement,Landslide/Wet mass movement
China,2016,2016-10-10,300,Weather related,Storm,Winter storm/Blizzard
Afghanistan,2016,2016-04-02,225,Weather related,Storm,Storm
Albania,2016,2016-06-24,578,Weather related,Mass Movement,Landslide/Wet mass movement
Central African Republic,2016,2016-02-10,2240,Weather related,Wildfire,Wildfire
Austria,2016,2016-09-04,163,Weather related,Mass Movement,Landslide/Wet mass movement
Indonesia,2016,2016-03-21,5,Weather related,Mass Movement,Landslide/Wet mass movement
Chad,2016,2016-05-01,5650,Weather related,Storm,Storm
Austria,2016,2016-07-11,66,Weather related,Flood,Flood
"Congo, Dem. Rep.",2016,2016-01-15,42400,Weather related,Flood,Flood
"Congo, Dem. Rep.",2016,2016-07-01,1700,Weather related,Wildfire,Wildfire
"Congo, Dem. Rep.",2016,2016-04-27,5200,Weather related,Flood,Flood
"Congo, Dem. Rep.",2016,2016-03-11,1040,Weather related,Storm,Storm
"Congo, Dem. Rep.",2016,2016-05-01,9000,Weather related,Flood,Flood
"Congo, Dem. Rep.",2016,2016-01-01,57200,Weather related,Flood,Flood
Bangladesh,2016,2016-08-14,33600,Weather related,Flood,Flood
Bhutan,2016,2016-07-18,638,Weather related,Flood,Flood
Ethiopia,2016,2016-03-01,298382,Weather related,Flood,Flood
Ethiopia,2016,2016-06-30,48774,Weather related,Flood,Flood
"Gambia, The",2016,2016-08-01,4633,Weather related,Storm,Storm
Central African Republic,2016,2016-10-02,847,Weather related,Flood,Flood
Ghana,2016,2016-07-27,2718,Weather related,Flood,Flood
Ghana,2016,2016-06-24,200,Weather related,Flood,Flood
Ghana,2016,2016-07-23,200,Weather related,Flood,Flood
Ghana,2016,2016-05-06,1000,Weather related,Flood,Flood
Costa Rica,2016,2016-05-01,4,Geophysical,Volcanic activity,Volcanic activity
Ghana,2016,2016-03-04,900,Weather related,Flood,Flood
Ghana,2016,2016-09-15,2000,Weather related,Flood,Flood
Guinea,2016,2016-07-12,63,Weather related,Flood,Flood
Kenya,2016,2016-04-29,49452,Weather related,Flood,Flood
Liberia,2016,2016-06-29,10000,Weather related,Flood,Flood
Madagascar,2016,2016-01-29,51039,Weather related,Storm,Storm
Malawi,2016,2016-01-07,2706,Weather related,Flood,Flood
Malawi,2016,2016-02-08,2870,Weather related,Flood,Flood
Malawi,2016,2016-04-06,3928,Weather related,Flood,Flood
Mali,2016,2016-07-11,8025,Weather related,Flood,Flood
Mauritius,2016,2016-02-10,300,Weather related,Flood,Flood
Costa Rica,2016,2016-10-06,153,Weather related,Flood,Flood
Costa Rica,2016,2016-02-07,42,Weather related,Wildfire,Wildfire
Australia,2016,2016-06-06,130,Weather related,Flood,Flood
Costa Rica,2016,2016-07-02,21,Geophysical,Earthquake,Earthquake
Mozambique,2016,2016-01-05,7009,Weather related,Flood,Flood
Cambodia,2016,2016-04-18,603,Weather related,Storm,Storm
Cambodia,2016,2016-09-18,193,Weather related,Flood,Flood
Cambodia,2016,2016-06-20,147,Weather related,Flood,Flood
Cambodia,2016,2016-06-06,106,Weather related,Flood,Flood
